lat        ,lng          ,
41.737741  ,-87.734887   ,
41.97737   ,"-87.816893	",
41.8804    ,"-87.753009	",
           ,"-87.613502	",
42.01657   ,"-87.670332	",
41.852793  ,"-87.716252	",
41.980436  ,"-87.886920	",
41.892628  ,"-87.631155	",
41.924383  ,"-87.638072	",
41.722348  ,"-87.584506	",
41.877483  ,"-87.677084	",
41.921811  ,"-87.672787	",
41.963071  ,"-87.655984	",
41.756933  ,"-87.587245	",
41.862436  ,"-87.712044	",
41.897251  ,"-87.753209	",
41.894114  ,"-87.675768	",
41.904505  ,"-87.640591	",
41.766481  ,"-87.584356	",
41.759298  ,"-87.632072	",
41.902932  ,"-87.770536	",
41.780415  ,"-87.605565	",
41.78696   ,"-87.729105	",
41.911017  ,"-87.708469	",
41.888099  ,"-87.639960	",
41.801551  ,"-87.617737	",
41.82264   ,"-87.690306	",
41.906514  ,"-87.769447	",
41.923976  ,"-87.766294	",
41.801628  ,"-87.602871	",
41.880113  ,"-87.749401	",
41.90437   ,"-87.631460	",
41.736391  ,"-87.590556	",
41.898933  ,"-87.628258	",
41.800883  ,"-87.633948	",
41.783452  ,"-87.703263	",
41.780372  ,"-87.700738	",
41.892997  ,"-87.755833	",
41.931583  ,"-87.742747	",
41.935411  ,"-87.717805	",
41.787563  ,"-87.697286	",
41.975228  ,"-87.658404	",
41.864527  ,"-87.640633	",
41.939742  ,"-87.791854	",
41.976852  ,"-87.655000	",
41.72582   ,"-87.617274	",
41.94996   ,"-87.801020	",
41.83105   ,"-87.622718	",
41.729908  ,"-87.602732	",
41.762474  ,"-87.708684	",
41.807205  ,"-87.729689	",
41.922441  ,"-87.692061	",
41.944862  ,"-87.739666	",
41.968726  ,"-87.681396	",
41.786981  ,"-87.615791	",
41.881375  ,"-87.648519	",
41.948534  ,"-87.647988	",
41.802483  ,"-87.646246	",
41.917205  ,"-87.723157	",
41.839811  ,"-87.617142	",
41.761728  ,"-87.564816	",
41.722311  ,"-87.538919	",
41.748423  ,"-87.614897	",
41.990706  ,"-87.717655	",
41.744979  ,"-87.602579	",
41.887539  ,"-87.704720	",
